1,Walmart,Retail,"559,200",1.90%,"2,200,000","Bentonville, Arkansas"
2,Amazon,Retail,"386,064",20.50%,"1,225,300","Seattle, Washington"
3,Apple,Electronics industry,"274,515",2.00%,"137,000","Cupertino, California"
4,CVS Health,Healthcare,"268,706",32.00%,"290,000","Woonsocket, Rhode Island"
5,ExxonMobil,Petroleum industry,"264,938",8.70%,"74,900","Irving, Texas"
6,UnitedHealth Group,Healthcare,"257,141",7.00%,"325,000","Minnetonka, Minnesota"
7,Berkshire Hathaway,Conglomerate,"254,616",2.70%,"391,500","Omaha, Nebraska"
8,McKesson Corporation,Healthcare,"214,319",2.90%,"70,000","Irving, Texas"
9,AmerisourceBergen,Pharmaceutical industry,"189,900",6.90%,"21,500","Chesterbrook, Pennsylvania"
10,Alphabet ,Technology,"182,530",18.30%,"118,899","Mountain View, California"
11,AT&T,Conglomerate,"181,193",6.10%,"247,800","Dallas, Texas"
12,Cigna,Health Insurance,"160,400",215.70%,"73,700","Bloomfield, Connecticut"
13,Ford Motor Company,Automotive industry,"155,900",2.80%,"190,000","Dearborn, Michigan"
14,Costco,Retail,"152,703",7.90%,"201,500","Issaquah, Washington"
15,Chevron Corporation,Petroleum industry,"146,516",11.90%,"48,200","San Ramon, California"
16,Cardinal Health,Healthcare,"145,534",6.40%,"49,500","Dublin, Ohio"
17,Microsoft,Technology,"143,000",14.00%,"144,000","Redmond, Washington"
18,JPMorgan Chase,Financial services,"142,422",8.40%,"256,981","New York City, New York"
19,General Motors,Automotive,"137,237",6.70%,"164,000","Detroit, Michigan"
20,Walgreens Boots Alliance,Pharmaceutical industry,"136,866",4.10%,"287,000","Deerfield, Illinois"
21,Verizon Communications,Telecommunications,"131,868",0.80%,"135,000","New York City, New York"
22,Marathon Petroleum,Petroleum industry,"124,813",28.50%,"60,910","Findlay, Ohio"
23,Kroger,Retail,"122,286",0.90%,"435,000","Cincinnati, Ohio"
24,Fannie Mae,Financials,"120,304",0.20%,"7,500","Washington, D.C."
25,Bank of America,Financials,"113,589",2.70%,"208,131","Charlotte, North Carolina"
26,The Home Depot,Retail,"110,225",1.90%,"415,700","Atlanta, Georgia"
27,Phillips 66,Petroleum industry,"109,559",4.10%,"14,500","Houston, Texas"
28,Comcast,Telecommunications,"108,942",15.30%,"190,000","Philadelphia, Pennsylvania"
29,Anthem,Healthcare,"104,213",13.10%,"70,600","Indianapolis, Indiana"
30,Wells Fargo,Financials,"103,915",2.80%,"259,800","San Francisco, California"
31,Citigroup,Financials,"103,449",6.50%,"200,000","New York City, New York"
32,Valero Energy,Petroleum industry,"102,729",7.80%,"10,222","San Antonio, Texas"
33,General Electric,Conglomerate,"95,214",20.80%,"205,000","Boston, Massachusetts"
34,Dell Technologies,Technology,"92,154",1.70%,"165,000","Round Rock, Texas"
35,"Facebook, ",Technology,"85,970",26.60%,"44,942","Menlo Park, California"
36,Johnson & Johnson,Pharmaceutical industry,"82,059",0.60%,"132,200","New Brunswick, New Jersey"
37,State Farm,Financials,"79,395",2.90%,"57,672","Bloomington, Illinois"
38,Target Corporation,Retail,"78,112",3.70%,"368,000","Minneapolis, Minnesota"
39,Intel,Technology,"77,870",1.60%,"110,800","Santa Clara, California"
40,IBM,Technology,"77,147",3.10%,"383,800","Armonk, New York"
41,United Technologies,Conglomerate,"77,046",15.90%,"243,200","Waltham, Massachusetts"
42,Boeing,Aerospace and defense,"76,559",24.30%,"161,100","Chicago, Illinois"
43,Freddie Mac,Financials,"75,125",2.10%,"6,892","McLean, Virginia"
44,Centene,Healthcare,"74,639",24.20%,"56,600","St. Louis, Missouri"
45,United Parcel Service,Transportation,"74,094",3.10%,"377,640","Atlanta, Georgia"
